Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month),Status
,,de,,,,,,375.99,13.93,1.16,3.81,8.53,10.76,3.68,45370000000.0,121.93,45370000000.0,88520000000.0,12.37,0.85,2.27,14.65,2.27,8980000000.0,45370000000.0,,10.27,6.10,5.80,3040000000.0,9.59,44890000000.0,1.96,37.60,1550000000.0,45370000000.0,0.23,79.80,,3.89,2.03,3.04,
,,dell,,,,,,0.77,6.48,0.37,0.95,1.51,1.11,0.54,33840000000.000004,118.64,33840000000.000004,86420000000.0,6.48,0.66,0.95,10.48,0.95,25280000000.0,33840000000.000004,,1.85,9040000000.0,2.60,9040000000.0,12.58,55080000000.0,0.77,8.99,6510000000.0,33840000000.000004,0.40,86.48,,1.2,2.07,4030000.0000000005,
,,df,,,,,,665.94,1.19,0.01,0.39,5.53,2.32,4.62,71360000.0,81.54,71360000.0,1380000000.0,1.19,0.14,0.19,65.40,0.19,1660000000.0,71360000.0,,4.5130,20950000.0,5.50,20950000.0,0.23,1300000000.0,1.15,2.01,21130000.0,71360000.0,11.45,91.25,,12.75,49.22,27300000.0,
,,dfs,,,,,,218.98,9.33,3.16,2.33,36.04,48.25,2.70,25320000000.0,24.19,25320000000.0,40690000000.0,8.30,0.85,5.08,1.60,5.08,7320000000.0,25320000000.0,,8.53,12.60,11.00,10320000000.0,32.42,25170000000.0,1.30,34.21,6280000000.0,25320000000.0,16.76,0.00,,2.65,1.77,4840000.0,
,,dg,,,,,,165.32,22.01,1.33,5.27,6.16,8.20,7.92,34640000000.0,99.43,34640000000.0,45170000000.0,18.68,2.10,1.73,17.31,1.73,7800000000.0,34640000000.0,,6.09,5.50,8.30,271110000.0,1.05,10870000000.0,1.16,25.44,2170000000.0,34640000000.0,0.15,104.64,,2.33,1.43,3730000.0,
,,dgx,,,,,,81.86,18.86,1.78,2.47,9.64,15.29,6.43,13470000000.0,56.09,13470000000.0,17830000000.0,14.73,2.98,2.36,12.04,2.36,2670000000.0,13470000000.0,,5.30,3.20,1.80,2.03,2.03,4570000000.0,0.82,40.44,1290000000.0,13470000000.0,0.35,91.55,,4.09,3.35,4530000.0,
,,dhi,,,,,,35.16,11.37,1.03,1.82,9.26,11.85,8.77,17510000000.0,45.58,17510000000.0,20320000000.0,10.34,0.87,1.19,9.72,1.19,3420000000.0,17510000000.0,,4.16,4.60,10.60,819500000.0,2.22,3450000000.0,6.73,26.08,319400000.0,17510000000.0,8.24,85.70,,3.45,3.38,13360000.0,
,,dhr,,,,,,34.99,40.47,4.90,3.24,12.22,17.48,4.36,99150000000.0,28.64,99150000000.0,108270000000.0,24.20,3.17,5.35,22.32,5.35,11120000000.0,99150000000.0,,3.41,8.50,3.50,5430000000.0,7.57,11270000000.0,2.32,42.66,4030000000.0000005,99150000000.0,11.41,79.87,,1.77,0.67,5090000.0,
,,dis,,,,,,55.33,17.26,3.73,2.64,19.02,19.89,5.22,241470000000.0,41.06,241470000000.0,305600000000.0,22.64,9.26,4.72,18.47,4.72,26710000000.0,241470000000.0,,7.77,39.60,32.90,6730000000.0,3.73,58230000000.0,0.70,50.80,8439999999.999999,241470000000.0,0.19,54.83,,2.37,1.18,17070000.0,
,,disca,,,,,,148.01,13.13,1.27,1.98,15.62,32.57,6.65,13910000000.0,17.16,13910000000.0,37340000000.0,6.91,0.43,3.40,7.39,3.40,7050000000.0,13910000000.0,,2.06,338.40,1.40,1330000000.0,1.89,17270000000.0,1.27,13.65,3080000000.0,13910000000.0,2.27,117.18,,8.3,59.84,28530000.0,
,,dks,,,,,,187.34,9.72,0.35,1.59,3.76,5.22,4.91,2930000000.0,88.35,2930000000.0,6320000000.0,9.23,2.52,0.75,9.10,0.75,2440000000.0,2930000000.0,,3.28,4.30,0.60,92420000.0,3420000000.0,3420000000.0,1.32,20.01,509700000.0,2930000000.0,3.87,115.27,,12.7,33.47,18550000.0,
,,dlph,,,,,,329.20,5.60,0.26,3.36,4.72,8.39,6.37,1200000000.0,52.08,1200000000.0,2850000000.0,4.32,0.56,0.62,4.82,0.62,2.45,1200000000.0,,2.45,68.60,9.00,1.86,1.86,1650000000.0,1.35,4.10,71750000.0,1200000000.0,0.22,97.98,,5.52,7.30,6030000.0,
,,dltr,,,,,,179.51,15.56,0.96,3.85,6.43,7.58,6.21,22180000000.0,96.96,22180000000.0,31740000000.0,15.56,2.40,1.38,13.40,1.38,8359999999.999999,22180000000.0,,6.23,66.90,4.60,725800000.0,3.06,10330000000.0,1.07,24.23,1990000000.0,22180000000.0,2.81,96.58,,3.29,2.41,6070000.0,
,,dlx,,,,,,111.48,20.00,0.94,2.12,4.97,16.58,9.05,1900000000.0,44.83,1900000000.0,2810000000.0,6.71,0.93,1.40,6.57,1.40,1210000000.0,1900000000.0,,2.21,45.90,1.20,66730000.00000001,1.55,996800000.0,1.27,20.83,297480000.0,1900000000.0,1.32,92.91,,8.15,6.22,2380000.0,
,,dnb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
,,dnr,,,,,,206.20,1.21,0.33,0.35,27.05,39.43,7.35,462850000.0,3.06,462850000.0,3060000000.0,2.40,0.07,2.22,3.96,2.22,981090000.0,462850000.0,,0.8150,385.40,11.30,2620000000.0,2620000000.0,2620000000.0,0.58,2.81,497060000.0,462850000.0,1.15,91.35,,8.2,33.79,96910000.0,
,,do,,,,,,62.65,3.12,0.79,0.22,33.77,22.01,2.14,740110000.0,6.84,740110000.0,2610000000.0,3.12,0.20,2.77,19.13,2.77,337140000.0,740110000.0,,2.31,297450000.0,21.90,297450000.0,2.16,2130000000.0,2.19,24.68,98610000.0,740110000.0,0.16,106.99,,14.9,42.68,28850000.0,
,,dov,,,,,,117.53,21.77,1.82,4.38,8.50,14.04,7.22,12940000000.0,48.60,12940000000.0,15990000000.0,14.24,1.46,2.26,12.53,2.26,2580000000.0,12940000000.0,,4.09,41.50,0.70,321330000.0,2.21,3470000000.0,1.34,20.32,837790000.0,12940000000.0,2.61,90.74,,4.61,3.76,4600000.0,
,,dow,,,,,,110.38,12.93,0.70,1.82,5.44,10.01,46560000000.0,32570000000.0,62.41,32570000000.0,51290000000.0,9.89,3.96,1.10,6.83,1.10,8529999999.999999,32570000000.0,,3.39,94.40,13.90,2480000000.0,3.33,20420000000.0,1.61,24.10,4720000000.0,32570000000.0,0.17,70.02,,1.71,0.97,6220000.0,
,,dps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
,,dri,,,,,,46.10,20.49,1.68,6.00,8.38,10.01,9.37,14310000000.0,68.91,14310000000.0,15020000000.0,16.99,1.81,1.76,12.92,1.76,1850000000.0,14310000000.0,,5.69,19.20,4.50,457300000.0,3.71,1100000000.0,0.61,19.44,1260000000.0,14310000000.0,0.19,93.19,,6.03,6.60,7120000.0,
,,dsw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,dte,,,,,,143.87,21.16,1.72,2.26,8.09,11.81,2.84,23500000000.0,75.08,23500000000.0,38440000000.0,19.51,4.54,2.81,15.17,2.81,3150000000.0,23500000000.0,,6.06,22.20,8.60,0.34,0.34,15210000000.0,0.75,56.72,2610000000.0,23500000000.0,0.57,74.24,,4.54,2.53,3380000.0,
,,dtv,,,,,,,9.19,57.79,57.79,,,,10050000000.0,,10050000000.0,9.19,57.79,57.79,57.79,57.79,57.79,,10050000000.0,,,,,,,,,,,10050000000.0,3.41,3.41,,3.41,3.41,3.41,
,,duk,,,,,,137.98,19.69,2.66,1.46,13.45,22.52,2.34,64860000000.0,33.81,64860000000.0,128009999999.99998,17.25,2.47,5.25,12.29,5.25,10720000000.0,64860000000.0,,4.52,66.40,4.10,0.46,0.46,62550000000.0,0.71,60.77,6940000000.0,64860000000.0,0.06,61.68,,3.67,1.16,8560000.0,
,,dva,,,,,,221.61,72.05,0.83,2.38,1.21,13.39,4.78,9390000000.0,67.65,9390000000.0,19150000000.0,11.03,0.64,1.70,9.08,1.70,3220000000.0,9390000000.0,,0.81,2.30,1.60,3580000000.0,22.34,12030000000.0,1.12,24.62,2009999999.9999998,9390000000.0,2.11,89.65,,3.52,7.16,8170000.0,
,,dvn,,,,,,65.81,2.55,0.90,1.28,39.45,16.09,4.30,8830000000.0,22.04,8830000000.0,10040000000.0,10.11,0.38,1.02,2.91,1.02,4210000000.0,8830000000.0,,8.56,3470000000.0,0.20,3470000000.0,8.59,4600000000.0,1.49,17.09,2390000000.0,8830000000.0,0.60,88.38,,2.6,4.72,13390000.0,
,,ea,,,,,,19.04,12.50,5.19,4.04,42.75,22.42,7.82,26060000000.0,16.70,26060000000.0,22010000000.0,17.47,3.10,4.38,17.36,4.38,3630000000.0,26060000000.0,,7.07,385.00,6.30,5190000000.0,17.6,1240000000.0,3.52,21.91,1580000000.0,26060000000.0,0.51,96.67,,2.12,3.23,9270000.0,
,,ebay,,,,,,243.50,15.28,3.05,8.11,22.12,22.57,6.78,33150000000.0,11.81,33150000000.0,38770000000.0,12.75,1.22,3.57,12.34,3.57,8359999999.999999,33150000000.0,,2.59,37.40,1.80,4480000000.0,5.34,243.50,1.31,4.88,3080000000.0,33150000000.0,5.29,88.01,,2.61,2.53,19400000.0,
,,ecl,,,,,,91.98,39.75,3.96,7.12,10.12,15.21,6.89,58570000000.0,51.26,58570000000.0,65590000000.0,30.70,2.52,4.44,20.48,4.44,6050000000.0,58570000000.0,,5.12,4.90,1.90,85700000.0,0.3,7610000000.0,1.18,28.58,2410000000.0,58570000000.0,0.49,88.34,,4.58,1.75,4059999.9999999995,
,,ecyt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
,,ed,,,,,,120.39,20.61,2.29,1.62,10.71,19.71,2.95,28730000000.0,39.29,28730000000.0,49390000000.0,18.89,5.73,3.94,12.23,3.94,6240000000.0,28730000000.0,,4.20,19.10,1.80,2.5,2.5,21510000000.0,0.62,53.34,3190000000.0,28730000000.0,0.17,61.38,,5.31,2.27,7070000.0,
,,efx,,,,,,116.40,23.14,5.00,6.68,12.52,10.35,3.01,16980000000.0,28.14,16980000000.0,19840000000.0,23.14,8.39,5.84,29.49,5.84,1970000000.0,16980000000.0,,3.52,53.90,0.40,135800000.0,1.12,3010000000.0,0.54,21.04,565400000.0,16980000000.0,0.44,88.67,,5.3,3.69,4139999.9999999995,
